start_point_id,minIndex,minDistSquare
234,1.0,0.00349676443478
235,1.0,0.0235103929827
236,2.0,0.00279295068708
237,1.0,0.0036539472159
238,2.0,0.00249256427071
239,2.0,0.0019308839013
240,2.0,0.00292166005743
241,2.0,0.00171960116099
242,1.0,0.00808947348263
243,1.0,0.00198166035747
244,2.0,0.00188270608637
245,0.0,0.0
246,2.0,0.00165812236802
247,1.0,0.00369446865421
248,2.0,0.00184413873237
249,1.0,0.00198280625803
250,2.0,0.00200143117975
251,2.0,0.00179103673121
252,1.0,0.00311794162513
253,1.0,0.00404326446094
254,2.0,0.00258867718895
255,1.0,0.00304437709018
256,1.0,0.00380714626062
257,1.0,0.00398221926899
258,2.0,0.00210930919638
259,2.0,0.00202904195287
260,1.0,0.00281776460446
261,2.0,0.0016649768576
262,2.0,0.00279741691999
263,2.0,0.0016435040204
264,2.0,0.00248369040473
265,2.0,0.00211394134206
266,1.0,0.00345527582218
267,1.0,0.00347760287283
268,2.0,0.0017465030938
269,2.0,0.00297665609963
270,1.0,0.039194883807
271,2.0,0.00231851270412
272,2.0,0.00200616536225
273,2.0,0.00222324015289
274,1.0,0.00300695580226
275,2.0,0.00137402248899
276,2.0,0.00222770933719
277,1.0,0.00348559940869
278,1.0,0.00191251578505
279,2.0,0.00223572206257
280,1.0,0.0112150514768
281,2.0,0.00302266146855
282,1.0,0.00278850204771
283,1.0,0.00418146661971
284,2.0,0.00188757519468
285,1.0,0.00379672395255
286,1.0,0.0114818920665
287,1.0,0.00310587270704
288,2.0,0.00316720565792
289,2.0,0.00176395897377
290,2.0,0.0020408764687
291,1.0,0.00547585003483
292,2.0,0.00240126096254
293,2.0,0.00256537949968
294,1.0,0.00736800619866
295,1.0,0.00225520242692
296,1.0,0.00207693711201
297,1.0,0.00681782891421
298,2.0,0.0064974168302
299,2.0,0.00152485825746
300,2.0,0.00209964495301
301,1.0,0.0056268340699
302,2.0,0.00210105827344
303,1.0,0.00209009245951
304,1.0,0.00256451131927
305,1.0,0.0016860431136
306,1.0,0.0036713113941
307,1.0,0.00500914265435
308,2.0,0.00326353345897
309,1.0,0.003823436868
310,2.0,0.00319305480416
311,2.0,0.00325229251077
312,1.0,0.00370089534381
313,1.0,0.00353447819194
314,1.0,0.00373816196199
315,1.0,0.00293283177011
316,2.0,0.00245718812713
317,1.0,0.00394378462033
318,2.0,0.0028344973082
319,1.0,0.0088855312581
320,1.0,0.00668475001871
321,2.0,0.00169703784059
322,2.0,0.00187527782485
